Latitude,Longitude,Number of Structures,Type of building,Building Material,No of storeys,Type of Building Registration,Use of building,Total No. of Family Member,Gender: Male,Gender: Female,Gender: Others,Physically Disabled,Source of Income,Average Salary,Crops Harvest,Irrigation Facility,Electricity Facility,Road Acces,Nearest Health Facility,Animal Husbandary,No. of old member
27.4553837,85.043093,2,स्थायी भवन,आर.सी.सी.,2,नक्सा पास् र सम्पन्न भएको,Normal Shop,5,3,2,,,Teaching,123000,"Maize, Paddy",No,Yes,Yes,3km,,0
27.4556373,85.0430743,2,स्थायी भवन,आर.सी.सी.,3,नक्सा पास् र सम्पन्न भएको,Normal Shop,5,3,2,,,Agriculture,60000,"Maize, Millet",Yes,Yes,Yes,3km,,2
27.455388,85.0432753,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,7,4,3,,0,Agriculture,12000,"Maize, Millet",Yes,Yes,Yes,3km,,
27.4557981,85.0432667,1,स्थायी भवन,आर.सी.सी.,1,नक्सा पास् र सम्पन्न भएको,Normal Shop,10,6,4,,,"Hotel, Restaurant",100000,"Maize, Millet",Yes,Yes,Yes,3km,,1
27.4554802,85.0434814,1,अस्थायी भवन,जस्तापाता,2,थाहा नभएको ,Residential,5,1,4,,,Agriculture,13000,"Maize, Millet",Yes,Yes,Yes,3km,,
27.4555321,85.04363,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,5,3,2,,0,Agriculture,7000,"Maize, Millet",Yes,Yes,Yes,3km,,0
27.4553893,85.043911,1,स्थायी भवन,आर.सी.सी.,2,नक्सा पास् र सम्पन्न भएको,Residential,12,7,5,,0,Agriculture,53000,"Maize, Millet",Yes,Yes,Yes,3km,,1
27.455266,85.0444948,2,स्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,7,4,3,,0,Agriculture,13000,"Maize, Millet",Yes,Yes,Yes,3km,,
27.4553761,85.043986,2,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,8,4,5,,0,Agriculture,23000,"Maize, Millet",Yes,Yes,Yes,3km,,1
27.4550212,85.0433035,2,स्थायी भवन,आर.सी.सी.,4,नक्सा पास् र सम्पन्न भएको,Residential,13,7,6,,0,Agriculture,63000,"Maize, Millet",Yes,Yes,Yes,3km,,2
27.4550331,85.0436228,1,स्थायी भवन,आर.सी.सी.,2,नक्सा पास् र सम्पन्न भएको,Residential,7,3,4,,0,Agriculture,13000,"Maize, Millet",Yes,Yes,Yes,3km,,1
27.4548011,85.0438246,1,अस्थायी भवन,जस्तापाता,2,थाहा नभएको ,Residential,5,2,3,,0,Agriculture,7500,"Maize, Millet",Yes,Yes,Yes,3km,,1
27.4546532,85.0439931,1,स्थायी भवन,आर.सी.सी.,2,नक्सा पास् र सम्पन्न भएको,Residential,8,4,4,,,Agriculture,53000,"Maize, Millet",Yes,Yes,Yes,3km,,1
27.4546096,85.0437966,1,स्थायी भवन,आर.सी.सी.,1,नक्सा पास् र सम्पन्न भएको,Residential,5,2,3,,0,Agriculture,13000,"Maize, Millet",Yes,Yes,Yes,3km,,1
27.453516,85.0503731,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,5,3,2,,0,Agriculture,33000,"Maize, Millet",Yes,Yes,Yes,4km,Goat,2
27.4530855,85.0502389,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,8,3,5,,1,Agriculture,11000,"Maize, Millet",No,Yes,Yes,4km,,2
27.4531369,85.0513515,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,7,3,4,,,,,,,,,,,
27.4529203,85.0521662,2,अस्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,6,3,3,,0,Agriculture,12000,Millet,No,Yes,Yes,4km,,
27.4526753,85.0526507,2,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,5,2,3,,0,Agriculture,22000,"Maize, Millet",No,Yes,Yes,4km,,2
27.4499715,85.0556533,2,अस्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,11,5,6,,0,Agriculture,8000,"Maize, Millet",No,Yes,Yes,5km,Chicken,0
27.4439305,85.0559988,1,अस्थायी भवन,जस्तापाता,2,थाहा नभएको ,Residential,6,3,3,,0,Agriculture,9000,Millet,No,Yes,Yes,5km,Chicken,1
27.4435186,85.0543741,2,स्थायी भवन,भार वहन,1,थाहा नभएको ,Residential,,,,,,,,Millet,No,Yes,Yes,6km,,
27.4404651,85.052827,2,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,5,2,3,,0,Agriculture,14000,"Maize, Millet",No,Yes,Yes,7km,,1
27.4405936,85.052613,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास्  भएको र अरु थाहा नभएको ,Residential,4,2,2,,0,Agriculture,13000,"Maize, Millet",No,Yes,Yes,7km,Goat,
27.4405892,85.0522457,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,6,3,3,,0,Agriculture,32000,Millet,No,Yes,Yes,7km,Chicken,0
27.4407702,85.0514735,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,3,1,2,,1,Agriculture,12000,"Maize, Millet",No,Yes,Yes,7km,,0
27.4402935,85.0509727,1,अस्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,10,4,6,,0,Agriculture,13000,"Maize, Millet",No,Yes,Yes,7km,Chicken,1
27.4400189,85.0518916,2,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,,,,,,,,"Maize, Millet",No,Yes,Yes,7km,,
27.439831,85.0523164,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,5,2,2,,0,Agriculture,11000,Millet,No,Yes,Yes,7km,Chicken,1
27.4397441,85.0526421,2,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,5,2,3,,0,Agriculture,12000,Millet,No,Yes,Yes,7km,,1
27.4386333,85.0530171,1,अस्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,5,3,2,,0,Agriculture,12000,Millet,No,Yes,Yes,,,
27.4376868,85.0537138,1,अस्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,6,3,3,,0,Agriculture,14000,Millet,No,Yes,Yes,7km,,
